135,controller,client.routetable.file.import,TRUE
136,admin,client.routetable.publish,TRUE
137,planner,client.routetable.publish,TRUE
138,monitoring,client.routetable.publish,FALSE
139,controller,client.routetable.publish,TRUE
140,admin,client.routetable.route.modify,TRUE
141,planner,client.routetable.route.modify,TRUE
142,monitoring,client.routetable.route.modify,FALSE
143,controller,client.routetable.route.modify,TRUE
144,admin,client.routetable.route.upload,TRUE
145,planner,client.routetable.route.upload,FALSE
146,monitoring,client.routetable.route.upload,FALSE
147,controller,client.routetable.route.upload,TRUE
148,admin,client.routetable.waypoint.modify,TRUE
149,planner,client.routetable.waypoint.modify,TRUE
150,monitoring,client.routetable.waypoint.modify,FALSE
151,controller,client.routetable.waypoint.modify,TRUE
152,admin,client.serverstatus,TRUE
153,planner,client.serverstatus,TRUE
154,monitoring,client.serverstatus,TRUE
155,controller,client.serverstatus,TRUE
156,admin,client.serverstatus.servermanagement,TRUE
157,planner,client.serverstatus.servermanagement,FALSE
158,monitoring,client.serverstatus.servermanagement,FALSE
159,controller,client.serverstatus.servermanagement,FALSE
160,admin,client.serverstatus.shutdownall,TRUE
161,planner,client.serverstatus.shutdownall,FALSE
162,monitoring,client.serverstatus.shutdownall,FALSE
163,controller,client.serverstatus.shutdownall,FALSE
164,admin,client.serverstatus.shutdownmaster,TRUE
165,planner,client.serverstatus.shutdownmaster,FALSE
166,monitoring,client.serverstatus.shutdownmaster,FALSE
167,controller,client.serverstatus.shutdownmaster,FALSE
168,admin,client.simulator,TRUE
169,planner,client.simulator,FALSE
170,monitoring,client.simulator,FALSE
171,controller,client.simulator,FALSE
172,admin,client.trackpanel,TRUE
173,planner,client.trackpanel,TRUE
174,monitoring,client.trackpanel,TRUE
175,controller,client.trackpanel,TRUE
176,admin,client.usermanagement,TRUE
177,planner,client.usermanagement,TRUE
178,monitoring,client.usermanagement,TRUE
179,controller,client.usermanagement,TRUE
180,admin,client.usermanagement.activate,TRUE
181,planner,client.usermanagement.activate,FALSE
182,monitoring,client.usermanagement.activate,FALSE
183,controller,client.usermanagement.activate,FALSE
184,admin,client.usermanagement.enable,TRUE
185,planner,client.usermanagement.enable,FALSE
186,monitoring,client.usermanagement.enable,FALSE
187,controller,client.usermanagement.enable,FALSE
188,admin,client.usermanagement.visible,TRUE
189,planner,client.usermanagement.visible,FALSE
190,monitoring,client.usermanagement.visible,FALSE
191,controller,client.usermanagement.visible,FALSE
192,admin,server.plugin.asset.AndurilAsset,TRUE
193,planner,server.plugin.asset.AndurilAsset,TRUE
194,monitoring,server.plugin.asset.AndurilAsset,TRUE
195,controller,server.plugin.asset.AndurilAsset,TRUE
196,admin,server.plugin.arenatrackplugin,TRUE
197,planner,server.plugin.arenatrackplugin,TRUE
198,monitoring,server.plugin.arenatrackplugin,TRUE
199,controller,server.plugin.arenatrackplugin,TRUE
200,admin,server.plugin.IconProviderPlugin,TRUE
201,planner,server.plugin.IconProviderPlugin,TRUE
202,monitoring,server.plugin.IconProviderPlugin,TRUE
203,controller,server.plugin.IconProviderPlugin,TRUE
204,admin,server.plugin.AISPlugin,TRUE
205,planner,server.plugin.AISPlugin,TRUE
206,monitoring,server.plugin.AISPlugin,TRUE
207,controller,server.plugin.AISPlugin,TRUE
208,admin,server.plugin.asset.AutonautAsset,TRUE
209,planner,server.plugin.asset.AutonautAsset,TRUE
210,monitoring,server.plugin.asset.AutonautAsset,TRUE
211,controller,server.plugin.asset.AutonautAsset,TRUE
212,admin,server.plugin.asset.TowedArrayDetectionPayload,TRUE
213,planner,server.plugin.asset.TowedArrayDetectionPayload,TRUE
214,monitoring,server.plugin.asset.TowedArrayDetectionPayload,TRUE
215,controller,server.plugin.asset.TowedArrayDetectionPayload,TRUE
216,admin,server.plugin.asset.bluebear,TRUE
217,planner,server.plugin.asset.bluebear,TRUE
218,monitoring,server.plugin.asset.bluebear,TRUE
219,controller,server.plugin.asset.bluebear,TRUE
220,admin,server.plugin.payload.bbEOCameraPayload,TRUE
221,planner,server.plugin.payload.bbEOCameraPayload,TRUE
222,monitoring,server.plugin.payload.bbEOCameraPayload,TRUE
223,controller,server.plugin.payload.bbEOCameraPayload,TRUE
224,admin,server.plugin.BlueForceTrackingPlugin,TRUE
225,planner,server.plugin.BlueForceTrackingPlugin,TRUE
226,monitoring,server.plugin.BlueForceTrackingPlugin,TRUE
227,controller,server.plugin.BlueForceTrackingPlugin,TRUE
228,admin,server.core.plugin.WcfConnectedClients,TRUE
229,planner,server.core.plugin.WcfConnectedClients,TRUE
230,monitoring,server.core.plugin.WcfConnectedClients,TRUE
231,controller,server.core.plugin.WcfConnectedClients,TRUE
232,admin,server.plugin.DTCRadioPlugin,TRUE
